###### framework ######
Display product lists in your webshop;-;Vis produkt lister i din nettbutikk.
Disploma is disabled;-;Diploma er deaktivert
Done editing;-;Ferdig å editere
Download as pdf;-;Last ned som PDF
Download ebill;-;Last ned ebill
Ecommerce settings;-;Netthandel instillinger
Edit row;-;Editer raden
Email;-;Epost
Email address;-;Epost adresse
Email sent;-;Epost sendt
End date;-;Slutt dato
Enter room number;-;Skriv inn nom nummeret ditt
Enter the code sent to your email.;-;Skriv inn koden som ble sendt per mail.L
Fade;-;Fade
Failed;-;Feilet
Failed to reserve room... please contact us.;-;Det oppstod en feil ved reservasjon av rommene, vennligst kontakt oss.
February;-;Februar
Find price;-;Finn pris
Fixed price;-;Fast pris
Fr;-;Fr
Friday;-;Fredag
Full name;-;Hele navnet
Gallery;-;Galleri
Got a coupon from use? Apply it and get discount.;-;Har du en kupong? bruk den her
Group;-;Gruppe
Height;-;Høyde
Height (px);-;Høyde (px)
Height (px) mobile;-;Høyde (px) mobil
Hide on mobile;-;Ikke vis på mobilen
How can I help you today ?;-;Hva kan jeg hjelpe deg med?
I agree to the terms and conditions;-;Jeg godtar bruksvilkårene
I am sorry, but all fields are required before sending a message.;-;Beklager, men alle felt må fylles ut før du sender en melding.
I have a partnership deal;-;Jeg har en partneravtale
I need a handicap room;-;Jeg trenger et handicap rom
Image;-;Bilde
Included in all rooms:;-;Inkludert i alle rom:
Information;-;Informasjon
Inner background;-;Indre bakgrunn
Insert column;-;Sett inn kolonne
Insert column to the left;-;Legg inn en kolonne til venstre
Insert column to the right;-;Legg inn en kolonne til høyre
Insert row;-;Sett inn rad
Invalid email address;-;Ugyldig epost adresse
Invalid payment method;-;Ugyldig betalings metode
Invoice email;-;Epost Teknisk Leder
InvoicePayment;-;Faktura
Is private person;-;Er privat person
It's all about selling products online, GetShop is where you start!;-;Det handler å selge produkter online, GetShop er hvor du starter!
Items;-;Varer
January;-;Januar
July;-;Juli
June;-;Juni
Left spacing;-;Venstre spacing
Les mer;-;Les mer
Loading;-;Laster
Loading data... please wait;-;Laster, vennligst vent...
Logout;-;Logg ut
Lost your password?;-;Glemt ditt passord?
MAX COUNT;-;MAX ANTALL
March;-;Mars
May;-;Mai
Merchant ID is found in braintree account.;-;Merchant ID er noe du finner på kontoen din hos braintree.
Message;-;Melding
Message from a customer;-;Melding fra en kunde
Mo;-;Ma
Monday;-;Mandag
More information;-;Mer informasjon
Move cell to the left;-;Flytt celle til venstre
Move cell to the right;-;Flytt celle til høytre
Move column to the left;-;Flytt kolonnen et steg til venstre
Move column to the right;-;Flytt kolonnen et steg til høyre
Move down on mobile;-;Flytt ned på mobilen
Move row down;-;Flytt rad ned
Move row up;-;Flytt rad opp
Move slide to the left;-;Flytt slideren til venstre
Move slide to the right;-;Flytt slideren til høyre
Move tab to the left;-;Flytt tab til venstre
Move tab to the right;-;Flytt tab til høyre
Move up on mobile;-;Flytt opp på mobilen
Mva registered;-;Registrert i mva registeret
My account;-;Min konto
My images speeks for itself;-;Mine bilder snakker for seg selv
My name is:;-;Mitt navn er
Name;-;Navn
New message;-;Ny melding
New password;-;Nytt passord
NewsLetter;-;Nyhetsbrev
Next;-; Neste
Nice modern theme. Could be used for clothing, skateboarding, snowboarding etc.;-;Fint moderne tema. Kan bli brukt for klær, skateboards, snowbards, osv.
Nice modern theme. Suitable for different carmarkeds.;-;Pent og moderne tema. Godt brukbart i bil markedet.
No;-;Nei
No header uploaded for mobile landscape mode yet, please upload one.;-;Ingen header har blitt lastet opp for landskaps modus på mobil enda, vennligst last opp et.
No header uploaded for mobile potrait mode yet, please upload one.;-;Ingen header har blitt lastet opp for potrait modus på mobil enda, vennligst last opp et.
No items;-;Ingen elementer
No rooms are available for this time periode.;-;Ingen rom er tilgjengelig i valgt tidsperiode.
Normal;-;Normal
November;-;November
Number of instances added;-;Antall av instanser lagt til
Number of rooms;-;Antall rom
October;-;Oktober
Old password;-;Gammelt passord
Open styling;-;Åpne styling
Order;-;Ordre
Order cleaning;-;Bestill vask
Ordinary price;-;Ordinær pris
Organisation;-;Organisasjon
Organisation name;-;Selskapnavn
Organisation number;-;Organisasjonsnummer
Organisation number has to be 9 digits long.;-;Organisasjonsnummeret må bestå av 9 siffer 
Original (hp);-;Orginal hp
Original (nm);-;Original nm
Other attributes;-;Andre attributter
Other operations;-;Andre operasjoner
Our local time is:;-;Vår lokale tid er
Outer background;-;Ytre bakgrunn
PRICE PER NIGHT;-;PRIS PR NATT
Password;-;Passord
Password cannot be empty;-;Passordet kan ikke være tomt.
Password does not match, please re enter password;-;Passordet stemmer ikke oversens, prøv på nytt.
Password has been successfully updated;-;Passordet har blitt oppdatert.
Password has been updated;-;Passordet har blitt oppdatert.
Password missmatch;-;Passordene stemmer ikke oversens
Pay on pickup;-;Betal ved levering
Payment;-;Betaling
Payment failed;-;Betaling feilet
Payment fee;-;Betalingsgebyr
Payment information;-;Betalings informasjon
Payment successfully completed;-;Betalingen gjennomført
Phone;-;Telefon
Pin area;-;Pin til område
PixelateTheme1;-;PixelateTheme1
Place order;-;Legg inn ordre
Please check your delivery options.;-;Vennligst sjekk dine leveringsmetoder.
Please check your room number, you can only order cleaning while you are checked in.;-;Sjekk om romnret du har oppgitt er korrekt. Du kan kun bestille vask mens du holder til hos Wilhelmsen House.
Please check your room number, you can only order wash while you are staying at the hotel;-;Sjekk om romnret du har oppgitt er korrekt. Du kan kun bestille vask mens du holder til hos Wilhelmsen House.
Please enter the reference number provided by;-;Vennligst skriv inn referansenummeret du har fått utdelt.
Please enter your email address:;-;Vennligst skriv inn din epost
Please enter your room number;-;Skriv inn nom nummeret ditt
Please enter your username and password;-;Skriv inn ditt brukernavn og passord
Please following theese steps to recover your password.;-;Vennligst følgt instruksjonen under.
Please select a payment method.;-;Vennligst velg en betalingsmetode
Please select a user in the left menu;-;Vennligst velg en bruker fra venstre meny.
Please select a valid payment method;-;Vennligst velg en gyldig betalings metode.
Please select department;-;Velg en avdeling
Please start typing to search for page, must be more then 2 chars;-;Start å søk etter en side, må ha minst 3 bokstaver
Please wait while you are being transferred to dibs payment service.;-;-Vennligst vent til du blir overført til betaling siden.
Please wait...;-;Vennligst vent...
Post code;-;Post.nr
Postal code;-;Postnummer
Postal place;-;Poststed
Previous;-;Forrige
Price;-;Pris
Price and plans;-;Priser og oversikter
Private key is found in braintree account.;-;Den privat nøkkelen er noe du finner på kontoen din hos braintree.
Product List;-;Produktliste
Product Search;-;Produkt søk
Product view for your store.;-;Produkt visningen for din nettbutikk.
Products;-;Produkter
Public key is found in braintree account.;-;Den offentlig nøkkelen er noe du finner på kontoen din hos braintree.
Read more;-;Les mer
Recover password;-;Gjennopprett passord
Reference key;-;Referanse nummer
Reference number;-;Referanse nummer
Register;-;Registrer
Registration details;-;Registrerings detaljer.
Related products;-;Relaterte produkter
Reminder;-;Påminnelse
Reminder sent by email;-;En påmindelse har blitt sendt per epost.
Remove item;-;Fjern vare
Remove selected tab;-;Fjern valgte tab
Repeat password;-;Gjenta passord
Resize column;-;Endre størrelse på kolonnen
Right spacing;-;Høyre spacing
Room;-;Rom
Room type;-;ROMTYPE
Row is not displayed on mobile, click for make it reappear;-;Raden vises ikke på mobiltelefon, trykk her for å vise den.
Row options;-;Rad instillinger
Run account in sandbox?;-;Kjør kontoen i sandbox modus?
SELECT ROOM;-;VALGT ROM
Sa;-;Lø
Saturday;-;Lørdag
Save changes;-;Lagre endringer
Save settings;-;Lagre instillinger
Search for a product;-;Søk etter et produkt
Search for the company you want to enter by clicking the button above, and this box will be filled automatically.;-;Søk etter firma ved å trykke på knappen over.
Searching....;-;Søker....
Select a background image for the inner area of this cell.;-;Velg et bakgrunds bilde for den indre cellen.
Select a background image for the outer area of this cell.;-;Velg et bakgrunds bilde for den ytre cellen.
Select a room;-;Velg et rom
Select your car;-;Velg din bil
Send me a code;-;Send meg koden
Send message;-;Send melding
Send us mail;-;Send oss en epost
September;-;September
Set new password;-;Sett nytt passord
Setup and manage your products;-;Legg inn og administrer dine produkter.
Shipment information;-;Forsendelse informasjon
Shipment settings;-;Forsendelse
Shipping;-;Utsendelse
Shipping cost;-;Fraktkostnader
Shipping price;-;Forendelse pris
Short description;-;Kort beskrivelse
Sign up;-;Registrer deg
Sign up for waiting list;-;Sett meg på venteliste
Sign up with facebook;-;Logg inn me facebook
Sign up with google;-;Logg inn med google
Slide left;-;Slide til venstre
Slide right;-;Slide til høyre
Sold out;-;Utsolgt
Sorry;-;Beklager
Sorry, we are out of this type of storage, please select a different one.;-;Beklager, men vi har ikke flere av denne typen igjen, velg en annen en.
Sorry, your rental is too short, it has to be longer then {days} days of rental.;-;Beklager, men din leieperiode er for kort, den må være lengere enn {days} dager.
Stage 1 (hp):;-;Stage 1 hp:
Stage 1 (nm):;-;Stage 1 nm:
Stage 2 (hp):;-;Stage 2 hp:
Stage 2 (nm):;-;Stage 2 nm:
Stage 3 (hp):;-;Stage 3 hp:
Stage 3 (nm):;-;Stage 3 nm:
Start;-;Start
Start date;-;Start dato
Start your 30 days free trial;-;Start din 30 dagers fri prøveperiode
Stop;-;Stopp
Style row;-;Styling på rad
Styling;-;Design
Su;-;Sø
Subscribe;-;Registrer
Success;-;Success
Summary;-;Oppsummering
Sunday;-;Søndag
Tab name;-;Tab navn
Tab settings;-;Tab instillinger
Taxes;-;Skatter
Terms and Conditions;-;Bruksvilkår
Text color;-;Tekst farge
Text editor;-;Tekst editor
Th;-;To
Thank you for checking into our hotel. A confirmation mail has been sent to your email.;-;Takk for at du sjekker inn på vårt hotel. En bekreftelse er sendt til din e-post.
Thank you for ordering with Sisow ebill;-;Takk for at du bestilte med Sisow ebill
Thank you for renting a storage room from us. A confirmation mail has been sent to your email.;-;Takk for at du benytter deg av en våre boder. En bekreftelse er sendt til din e-post.
Thank you for subscribing to our newsletter, your email has been added;-;Takk for at du har valgt å registrere deg på vårt nyhetsbrev, din epost er nå lagt til.
Thank you for your booking a room at;-;Takk for at du reserverer et room hos
Thank you for your booking a storage room at;-;Takk for at du reserverer en bod hos
Thank you for your order, an email has been sent to you with the invoice attached. We will ship the items as soon as we have received the payment.;-;Takk for din bestilling, en epost har blitt sendt med fakturaen vedlagt. Vi sender bestillingen når vi har mottat betalingen.
Thank you for your order.;-;Takk for din bestilling.
Thank you, you will now be redirected to the payment service;-;Takk, du blir nå overført til betalingstjenesten
The carousel is not rotating while logged in as administrator.;-;Karusellen roterer ikke når man er logget inn som administrator.
The company you have selected could not be found in brreg.;-;Firmaet du har valgt eksisterer ikke i brønnøysundregisteret.
The email address is invalid.;-;Eposten din er ugyldig.
The email already exists, please log on to continue.;-;Eposten eksisterer allerede, vennligst logg på for å fortsette.
The email in invalid, please enter a valid email;-;Eposten er ikke gyldig, vennligst skriv inn en gyldig adresse.
The event has been confirmed.;-;Eventent har blitt bekreftet.
The newsletter application allowes you to send emails to all of your customers without. Create a news letter, select your customers and send.;-;Denne nyhetsbrev applikasjonen gjør det mulig for deg å sende epost til alle dine kunder. Opprett et nyhetsbrev og send det til dine registrerte kunder.
The passwords does not match.;-;Passordet stemmer ikke overens.
There is no entries for this event;-;Finnes inne noe for akkurat dette kurset
This event has the following entries;-;Dette kurset finner du i kalenderen på følgende dager
This is a {} days event.;-;Dette er et {} dagers event.
This user has not attended any events yet;-;Denne brukeren har ikke deltatt på noen eventer enda
Thursday;-;Torsdag
Timeless black and white design.;-;Tidsløst svart og hvitt design
Timer (ms);-;Timer (ms)
To be able to serve you we need to store a tiny amount of data about your browser. An identification id is being generated and added to your web browser. This allows us to track you for a two hours periode while you are navigating this site. This data is anonymous and are only being used to identify your web browser and not you as a person.;-;For at det skal være mulig bruke denne web siden må vi lagre en liten bit av data på din nettleser. Dette er en identifikasjons id som gjør det mulig å identifisere deg som en bruker mens du surfer på denne siden. Denne dataen blir lagret i 20 timer og er 100% anonym.
Top spacing;-;Øvre spacing
Top speed;-;Topp hastighet
Total;-;Total
Total price;-;Total pris
Tu;-;Ti
Tuesday;-;Tirsdag
Tune your online store by setting currency, does customers need to register to buy from your store, show cookie warning, etc;-;Finjuster nettbutikken din ved å f.eks velge valutta, bestemme om kundene dine må registrere seg for å handle, vis cookie advarsel, osv.
Unpin area;-;Unpin område
Update;-;Oppdater
Upload and manipulate on images or add this to be able to search for professional images trough our image stock.;-;Last og behandle bilder, eventuelt så kan du søke opp profesjonelle bilder gjennom vår bildebank.
Use a different email;-;Bruk en annen epost
Username / Email;-;Brukernavn / Epost
Visitor information;-;Besøksinformasjon
Waiting list;-;Venteliste
Was not able to get payment methods, please check your postcode;-;Klarte ikke å oppdrive betalings metoder, vennligst sjekk ditt postnummer.
We;-;On
We are sorry, but there is not enough available rooms for your selection, please select a different one.;-;Vi beklager, men vi har ikke nok tilgjengelige rom ut fra ditt valg, du må velge et annet type rom.
We host events at the following locations, click on the location to filter the calendar by location(s);-;We har events på følgende steder, trykk på stedet for å filtere kalenderen på stedet(ene)
Wednesday;-;Onsdag
Welcome to my page;-;Velkommen til min side
What email address do you want the ebill to be sent to?;-;Hvilken epost ønsker du at ebill skal sendes til?
What's on your mind?;-;Hva ønsker du å formidle?
When do you check in?;-;NÅR VIL DU SJEKKE <b>INN</b>?
When do you check out?;-;NÅR VIL DU SJEKKE <b>UT</b>?
Wrong delivery method;-;Feil forsendelses metode.
Yes;-;Ja
You are here:;-;Du er her:
You are now in edit mode for this row, from this manipulate your row by adding more columns or add a row above / below, and much more.;-;Du er nå i edit modus for denne raden, du kan nå legge til kolonner, rader over og under, og mye mer.
You do not have any products in your cart;-;Du har ingen produkter i din handlekurv
You have selected the following duration for your stay;-;Du har valgt følgende tidsperiode for besøket
You need to select at least one to send back message to;-;Du må velge minium en som du kan sende en melding til.
Your are now signed up for the event;-;Du er nå registert inn på denne eventen.
Your email;-;Din epost
Your message has been delivered;-;Din melding har blitt sendt.
Your name;-;Ditt navn
Your order has been canceled due to incorrect payment information, please try again.;-;Orderen din har blitt avbrutt pga manglende betaling.
Your order has now been completed and is waiting to be shipped.;-;Orderen din har blitt gjennomført og venter på å bli sendt.
Your order was placed successfully and you should momentarly receive an email with your eBill. You can also download it from the following link;-;Du vil snart motta en epost med din ebill, eller så kan du last den ned på følgende link
Your personal information;-;Din personlige informasjon
Your savings;-;Du sparer
Your you for your order;-;Deg du for dine ordrer
available room;-;tilgjengelige rom
available rooms;-;tilgjengelige rom
change;-;endre
course;-;kurs
day;-;dag
days;-;dager
description;-;Beskrivelse
email;-;E-post
forgot?;-;Glemt?
if we dont answer, please leave your email here and we will return your message asap.;-;Hvis vi ikke svarer, legg igjen en din epost, og vi vil kontakte deg så snart som mulig.
included taxes;-;Inkludert mva
location;-;Sted
login;-;logg inn
month;-;måned
months;-;måneder
night;-;natt
nights;-;netter
org;-;Firma
orgnummer;-;Org.nr.
phone;-;Mob.Tlf.
read;-;les
select;-;velg
to;-;til
will be added to your invoice.;-;vil bli lagt på sluttsummen.
your@email.com;-;din@epost.no
{percentage}% taxes on cleaning;-;{percentage}% MVA
{percentage}% taxes on room;-;{percentage}% MVA
{room} room is fitted for handicap.;-;{room} rom er tilpasset for handicap.
{room} rooms are fitted for handicap.;-;{room} rom er tilpasset for handicap.


